,时间,大红门街道,大红门街道_root,相对偏差
578,2018-11-23 22:00:00,96.4984866104808,99.8,0.03308129648816835
579,2018-11-23 21:00:00,97.46670582691272,97.7,0.002387862569982472
580,2018-11-23 20:00:00,91.04086986972206,89.8,0.013818149996904916
581,2018-11-23 19:00:00,86.80483752256521,85.8,0.01171139303689057
582,2018-11-23 18:00:00,86.7087140560091,87.9,0.013552741114799835
583,2018-11-23 17:00:00,81.46165343337519,90.1,0.0958751006284662
584,2018-11-23 16:00:00,76.79185704384986,78.4,0.020512027501915133
585,2018-11-23 15:00:00,62.540543885876716,67.5,0.07347342391293754
586,2018-11-23 14:00:00,55.10042226237881,60.1,0.08318764954444584
587,2018-11-23 13:00:00,47.89139108587772,57.0,0.15980015638811015
588,2018-11-23 12:00:00,45.47187851053121,55.0,0.17323857253579614
589,2018-11-23 11:00:00,39.90251763111824,53.3,0.25135989435050193
590,2018-11-23 10:00:00,50.46071216574108,56.0,0.09891585418319503
591,2018-11-23 09:00:00,63.41662409539791,61.9,0.024501197017736807
592,2018-11-23 08:00:00,78.51285598957656,67.6,0.16143278091089602
593,2018-11-23 07:00:00,79.93072416829511,71.1,0.12420146509557133
594,2018-11-23 06:00:00,85.787081829841,79.2,0.08317022512425501
595,2018-11-23 05:00:00,85.895193394579,82.8,0.03738156273646134
