,时间,卢沟桥乡,卢沟桥乡_root,相对偏差
573,2018-11-24 03:00:00,97.4046533226045,65.7,0.4825670216530365
574,2018-11-24 02:00:00,124.27708250367753,85.3,0.45694117823772024
575,2018-11-24 01:00:00,124.89292064390015,91.1,0.37094314647530363
576,2018-11-24 00:00:00,133.215151565383,85.6,0.5562517706236333
577,2018-11-23 23:00:00,142.2964281193086,90.6,0.5706007518687483
578,2018-11-23 22:00:00,135.37253966512003,87.2,0.5524373814807343
579,2018-11-23 21:00:00,128.00864927645148,86.3,0.48329836936791987
580,2018-11-23 20:00:00,125.85583689822892,83.6,0.5054525944764225
581,2018-11-23 19:00:00,119.53610231708035,78.7,0.5188831298231302
582,2018-11-23 18:00:00,113.88242090142144,74.9,0.5204595580964143
583,2018-11-23 17:00:00,113.84456264073881,73.5,0.5489056141597117
584,2018-11-23 16:00:00,81.96746302995109,72.7,0.12747541994430658
585,2018-11-23 15:00:00,64.28087439413628,58.8,0.0932121495601408
586,2018-11-23 14:00:00,57.38428419653228,54.9,0.04525107826106155
587,2018-11-23 13:00:00,55.22458532223317,54.3,0.017027354000610874
588,2018-11-23 12:00:00,52.658274068681784,53.0,0.0064476590814757685
589,2018-11-23 11:00:00,48.467926856394016,50.4,0.03833478459535681
590,2018-11-23 10:00:00,55.393114249476405,52.2,0.06117077106276631
591,2018-11-23 09:00:00,57.99171060829499,53.7,0.07992012305949692
592,2018-11-23 08:00:00,55.22671053838137,53.0,0.04201340638455412
593,2018-11-23 07:00:00,53.72516224093602,53.2,0.00987147069428608
594,2018-11-23 06:00:00,58.21008078561095,54.8,0.06222775156224364
595,2018-11-23 05:00:00,48.97931739324486,51.4,0.04709499234932171
596,2018-11-23 04:00:00,94.25405815325695,70.6,0.3350433166183705
601,2018-11-22 23:00:00,80.34343042929824,66.8,0.2027459645104527
603,2018-11-22 21:00:00,66.2018045984262,57.7,0.14734496704378144
604,2018-11-22 20:00:00,50.51873461476585,49.9,0.012399491277872722
605,2018-11-22 19:00:00,37.22551821877849,39.6,0.05996166114195737
606,2018-11-22 18:00:00,33.40492768369739,33.6,0.00580572369948256
621,2018-11-22 03:00:00,28.138828246010398,35.2,0.20060147028379557
622,2018-11-22 02:00:00,32.90113138243453,41.1,0.19948585444198233
623,2018-11-22 01:00:00,31.26933123781955,38.4,0.18569449901511587
625,2018-11-21 23:00:00,35.099243319756724,48.2,0.2717999311253792
626,2018-11-21 22:00:00,49.731302887407736,53.0,0.06167353042626913
627,2018-11-21 21:00:00,51.33888240945002,51.6,0.005060418421511224
628,2018-11-21 20:00:00,63.9940861479368,41.5,0.5420261722394409
629,2018-11-21 19:00:00,105.26260855703102,36.0,1.9239613488064171
630,2018-11-21 18:00:00,30.40865295765507,32.4,0.061461328467436016
644,2018-11-21 04:00:00,27.57509988536618,30.6,0.09885294492267395
650,2018-11-20 22:00:00,37.96782589894718,38.0,0.0008466868698109776
651,2018-11-20 21:00:00,70.40300385422971,45.7,0.5405471302894903
652,2018-11-20 20:00:00,71.54209476343276,44.4,0.6113084406178549
653,2018-11-20 19:00:00,92.78047173686905,43.0,1.1576853892295127
654,2018-11-20 18:00:00,73.97738450301505,32.4,1.2832526081177484
663,2018-11-20 09:00:00,33.086813205522915,34.4,0.038174034723171026
664,2018-11-20 08:00:00,36.79327929968639,36.9,0.002892159900097806
665,2018-11-20 07:00:00,37.35427548908741,45.0,0.16990498913139096
666,2018-11-20 06:00:00,44.247136501373255,54.1,0.18212317003006925
667,2018-11-20 05:00:00,39.294540847974666,55.0,0.285553802764097
668,2018-11-20 04:00:00,40.36189263017399,53.2,0.24131780770349645
669,2018-11-20 03:00:00,35.6118798003161,54.8,0.35014817882634847
670,2018-11-20 02:00:00,40.04835848613183,54.9,0.27052170334914694
671,2018-11-20 01:00:00,40.197371328996496,52.1,0.22845736412674675
672,2018-11-20 00:00:00,41.195725844057066,51.4,0.19852673455141895
673,2018-11-19 23:00:00,38.566295170198494,53.6,0.28047956772017735
