,时间,南苑街道,南苑街道_root,相对偏差
570,2018-11-24 06:00:00,32.38061125693139,61.1,0.4700390956312375
571,2018-11-24 05:00:00,59.10174783166723,77.9,0.24131260806588925
572,2018-11-24 04:00:00,83.99699681661684,96.9,0.13315792758909353
573,2018-11-24 03:00:00,96.31444538695521,104.4,0.07744784112111869
574,2018-11-24 02:00:00,98.46872358247984,109.9,0.10401525402657112
575,2018-11-24 01:00:00,91.68850684142629,106.8,0.14149338163458527
576,2018-11-24 00:00:00,88.92167680332824,105.0,0.1531268875873501
577,2018-11-23 23:00:00,90.67688557989098,106.1,0.14536394363910476
578,2018-11-23 22:00:00,98.5230848379837,113.0,0.12811429346917078
579,2018-11-23 21:00:00,92.46789756699394,105.4,0.1226954690038526
580,2018-11-23 20:00:00,88.61365982778923,100.7,0.12002323904876631
581,2018-11-23 19:00:00,82.61209649976533,97.8,0.15529553681221542
582,2018-11-23 18:00:00,87.00495236548039,98.6,0.11759683199309942
583,2018-11-23 17:00:00,89.86014845794617,98.8,0.09048432734872298
