,时间,西罗园街道,西罗园街道_root,相对偏差
597,2018-11-23 03:00:00,77.95767450674923,38.5,1.024874662512967
598,2018-11-23 02:00:00,74.51039345907806,39.4,0.8911267375400523
599,2018-11-23 01:00:00,69.13463481736464,35.4,0.9529557858012612
600,2018-11-23 00:00:00,61.067703302850774,33.7,0.8120980208561059
601,2018-11-22 23:00:00,57.81445978826212,30.7,0.8832071592267792
602,2018-11-22 22:00:00,59.72759520065639,30.0,0.9909198400218796
619,2018-11-22 05:00:00,60.695554611217176,31.2,0.9453703401031147
621,2018-11-22 03:00:00,57.15705274973925,32.8,0.7425930716383919
646,2018-11-21 02:00:00,65.2468746368754,33.6,0.941871268954625
647,2018-11-21 01:00:00,73.37556088076398,38.4,0.9108218979365622
665,2018-11-20 07:00:00,73.49275980728929,33.6,1.1872845180740859
666,2018-11-20 06:00:00,84.16444008442411,37.7,1.2324785168282257
667,2018-11-20 05:00:00,74.53831490026472,34.1,1.1858743372511649
668,2018-11-20 04:00:00,58.03415510786705,30.1,0.9280450201949185
676,2018-11-19 20:00:00,104.25802530160927,46.0,1.2664788109045493
677,2018-11-19 19:00:00,126.81329875732347,45.4,1.7932444660203408
678,2018-11-19 18:00:00,113.12989563992649,43.8,1.5828743296786871
679,2018-11-19 17:00:00,104.69764174421042,42.9,1.4405044695620144
712,2018-11-18 08:00:00,53.38150937065734,36.0,0.4828197047404817
713,2018-11-18 07:00:00,60.918604263687925,40.6,0.5004582330957617
714,2018-11-18 06:00:00,64.07555209893195,44.4,0.4431430652912602
715,2018-11-18 05:00:00,63.29151313888254,42.7,0.4822368416600126
716,2018-11-18 04:00:00,69.80803373588202,43.4,0.6084800399972816
717,2018-11-18 03:00:00,91.94390713900368,56.4,0.6302111194858809
718,2018-11-18 02:00:00,97.43326959952225,58.0,0.6798839586124525
719,2018-11-18 01:00:00,93.59898379315985,56.3,0.6625041526316137
720,2018-11-18 00:00:00,84.1065540724709,51.2,0.6427061342279472
