,时间,羊坊村盛芳花卉,羊坊村盛芳花卉_root,相对偏差
459,2018-11-28 21:00:00,64.54213865673415,60.9,0.059805232458688906
460,2018-11-28 20:00:00,56.05310316802796,58.1,0.03523058230588712
461,2018-11-28 19:00:00,56.916728951826244,60.6,0.06078005029989699
462,2018-11-28 18:00:00,51.95552742146515,58.9,0.11790276024677164
463,2018-11-28 17:00:00,50.05345707026705,57.3,0.12646671779638652
464,2018-11-28 16:00:00,50.3562005989549,56.8,0.11344717255361088
465,2018-11-28 15:00:00,50.693779454507144,52.2,0.028854799722085416
466,2018-11-28 14:00:00,53.355816287962924,55.6,0.04036301640354456
467,2018-11-28 13:00:00,58.979989153095325,59.6,0.0104028665588033
468,2018-11-28 12:00:00,60.62793802556345,62.2,0.025274308270684095
469,2018-11-28 11:00:00,64.64196567606325,66.0,0.020576277635405295
470,2018-11-28 10:00:00,68.96895338023072,63.6,0.08441750597847034
471,2018-11-28 09:00:00,61.112471145155475,63.2,0.03303051985513494
472,2018-11-28 08:00:00,60.68207195840316,61.7,0.016498023364616633
473,2018-11-28 07:00:00,59.46773805205064,60.1,0.010520165523283853
474,2018-11-28 06:00:00,61.74151950557647,63.0,0.019975880863865557
475,2018-11-28 05:00:00,66.50138344639095,61.5,0.0813233080713975
476,2018-11-28 04:00:00,60.55263173578506,59.1,0.024579217187564492
477,2018-11-28 03:00:00,54.29082468183913,57.8,0.06071237574672775
478,2018-11-28 02:00:00,47.264985766447445,56.7,0.16640236743478937
479,2018-11-28 01:00:00,46.08591500564019,58.5,0.2122065811001677
480,2018-11-28 00:00:00,49.8140199942313,55.9,0.10887262979908223
481,2018-11-27 23:00:00,52.216407095957734,59.5,0.12241332611835741
482,2018-11-27 22:00:00,49.06407200321514,62.8,0.21872496810166975
483,2018-11-27 21:00:00,41.70163023584327,57.8,0.27851850803039324
484,2018-11-27 20:00:00,36.48517214912712,55.4,0.34142288539481724
485,2018-11-27 19:00:00,29.70347969176321,48.6,0.3888172902929381
486,2018-11-27 18:00:00,27.093604630961433,43.9,0.38283360749518375
487,2018-11-27 17:00:00,24.72904842785778,39.4,0.37235917695792436
488,2018-11-27 16:00:00,22.432838772901924,36.6,0.38708090784420973
489,2018-11-27 15:00:00,21.84350015473192,32.0,0.3173906201646275
490,2018-11-27 14:00:00,19.89088578854203,34.0,0.41497394739582266
491,2018-11-27 13:00:00,17.712016610793082,38.8,0.5435047265259515
492,2018-11-27 12:00:00,15.275957171949418,41.2,0.6292243404866646
493,2018-11-27 11:00:00,14.982513166953082,42.4,0.6466388404020499
494,2018-11-27 10:00:00,16.78572158371935,43.9,0.6176373215553679
495,2018-11-27 09:00:00,19.85668605017144,44.9,0.5577575489939546
496,2018-11-27 08:00:00,21.838848916174275,45.9,0.5242080846149395
497,2018-11-27 07:00:00,25.806050810133645,45.7,0.43531617483296187
498,2018-11-27 06:00:00,32.06014872299427,50.2,0.3613516190638592
499,2018-11-27 05:00:00,37.56906818641262,48.4,0.22377958292535902
500,2018-11-27 04:00:00,42.015882614898466,52.7,0.20273467523911834
501,2018-11-27 03:00:00,46.34181519775195,50.0,0.07316369604496104
502,2018-11-27 02:00:00,61.491488053580156,58.7,0.04755516275264315
503,2018-11-27 01:00:00,165.7208964715984,132.3,0.252614485801953
504,2018-11-27 00:00:00,313.69147834001893,217.2,0.4442517418969565
505,2018-11-26 23:00:00,356.1341264130556,237.1,0.5020418659344394
506,2018-11-26 22:00:00,389.7857153295458,238.2,0.6363799971853308
507,2018-11-26 21:00:00,390.30034857721995,232.3,0.6801564725665946
508,2018-11-26 20:00:00,343.83410813498983,221.7,0.5508980971357232
509,2018-11-26 19:00:00,293.7351209967866,176.3,0.6661095915869912
510,2018-11-26 18:00:00,269.98954378621585,152.2,0.7739129026689611
511,2018-11-26 17:00:00,245.1262195787489,144.2,0.699904435358869
512,2018-11-26 16:00:00,249.1741774878638,141.0,0.767192748140878
513,2018-11-26 15:00:00,239.81144233377623,128.0,0.8735268932326268
514,2018-11-26 14:00:00,257.2093010499095,151.3,0.6999953803695275
515,2018-11-26 13:00:00,264.7876236132014,170.8,0.5502788267751837
516,2018-11-26 12:00:00,249.1479211293765,166.5,0.49638391068694593
517,2018-11-26 11:00:00,230.26493503470545,160.7,0.43288696350158967
518,2018-11-26 10:00:00,218.53842155873528,139.9,0.5621045143583651
519,2018-11-26 09:00:00,220.0969999773576,138.0,0.5949057969373739
520,2018-11-26 08:00:00,217.0329055502874,140.0,0.55023503964491
521,2018-11-26 07:00:00,228.85337939894694,137.9,0.6595604017327551
522,2018-11-26 06:00:00,235.54247148410735,127.6,0.8459441338879887
523,2018-11-26 05:00:00,223.53189328184385,116.2,0.9236823862465047
524,2018-11-26 04:00:00,196.07006427186042,110.4,0.7759969589842428
525,2018-11-26 03:00:00,174.4265493718058,112.0,0.557379905105409
526,2018-11-26 02:00:00,165.503478538224,104.9,0.5777262015083315
527,2018-11-26 01:00:00,158.79740574676757,109.6,0.4488814392953246
528,2018-11-26 00:00:00,156.47642328590493,112.3,0.39337865793325855
529,2018-11-25 23:00:00,151.854554374152,107.7,0.4099772922391086
530,2018-11-25 22:00:00,151.41762497189978,103.8,0.45874397853468
531,2018-11-25 21:00:00,151.71469649821887,100.4,0.511102554763136
532,2018-11-25 20:00:00,146.49950053653185,102.6,0.42787037559972574
533,2018-11-25 19:00:00,118.79824741373132,71.4,0.6638410001923153
534,2018-11-25 18:00:00,84.36308802966535,66.4,0.27052843418170697
535,2018-11-25 17:00:00,60.99742812572784,57.9,0.053496167974574176
536,2018-11-25 16:00:00,57.29162484786427,56.5,0.014011059254234867
537,2018-11-25 15:00:00,67.04558783330702,56.7,0.1824618665486247
538,2018-11-25 14:00:00,80.37674377892954,64.1,0.2539273600457027
539,2018-11-25 13:00:00,87.83319715634374,82.6,0.06335589777655871
540,2018-11-25 12:00:00,98.1098510626527,78.5,0.24980701990640375
541,2018-11-25 11:00:00,108.86721853846603,83.8,0.29913148613921287
542,2018-11-25 10:00:00,115.08126289696133,90.3,0.2744325902210558
543,2018-11-25 09:00:00,124.91186551771207,91.2,0.3696476482205271
544,2018-11-25 08:00:00,136.65909831763605,97.9,0.3959049879227379
545,2018-11-25 07:00:00,142.4705101255237,97.5,0.4612360012874226
546,2018-11-25 06:00:00,147.38950255158753,102.4,0.4393506108553469
547,2018-11-25 05:00:00,145.89377887185663,103.9,0.40417496508042944
548,2018-11-25 04:00:00,152.59846192500666,110.4,0.38223244497288633
549,2018-11-25 03:00:00,156.8415059206555,114.3,0.3721916528491295
550,2018-11-25 02:00:00,156.18886078773448,114.2,0.3676782906106347
551,2018-11-25 01:00:00,157.61173181248077,110.6,0.42506086629729456
552,2018-11-25 00:00:00,155.94706957971079,107.0,0.45744924840851203
553,2018-11-24 23:00:00,154.9673221071828,118.1,0.3121703819405827
554,2018-11-24 22:00:00,154.72877851014277,119.8,0.291559086061292
555,2018-11-24 21:00:00,150.91875979452433,125.6,0.2015824824404804
556,2018-11-24 20:00:00,169.51282844923495,120.5,0.4067454643090037
557,2018-11-24 19:00:00,165.6743198683505,113.0,0.4661444236137212
558,2018-11-24 18:00:00,159.45861302973915,109.8,0.45226423524352605
559,2018-11-24 17:00:00,151.09930794853838,110.4,0.36865315170777513
560,2018-11-24 16:00:00,121.27577127006285,93.6,0.295681316987851
561,2018-11-24 15:00:00,113.78034108799577,86.4,0.3169020959258768
562,2018-11-24 14:00:00,116.51025572303162,89.3,0.3047061111201749
