,时间,小瓦窑村,小瓦窑村_root,相对偏差
665,2018-11-20 07:00:00,42.14647728530268,40.5,0.040653760130930375
666,2018-11-20 06:00:00,46.888645885823,46.2,0.01490575510439394
667,2018-11-20 05:00:00,49.64749058320838,46.8,0.06084381588052102
668,2018-11-20 04:00:00,48.89564513656853,49.0,0.0021296910904381123
669,2018-11-20 03:00:00,53.894780904474985,51.8,0.040439785800675435
670,2018-11-20 02:00:00,55.461866341682025,51.9,0.06862940928096391
671,2018-11-20 01:00:00,56.60949795386314,55.8,0.014507131789662071
672,2018-11-20 00:00:00,59.38365572081543,54.9,0.08166950311139225
673,2018-11-19 23:00:00,59.62860998837734,55.3,0.078275044997782
674,2018-11-19 22:00:00,64.81830738265687,55.7,0.16370390274069777
676,2018-11-19 20:00:00,47.66774171811753,46.5,0.02511272512080716
677,2018-11-19 19:00:00,55.24024253083257,46.8,0.18034706262462757
678,2018-11-19 18:00:00,55.92861682955094,49.2,0.13676050466566944
679,2018-11-19 17:00:00,68.17089046458776,57.2,0.19179878434593975
712,2018-11-18 08:00:00,37.131485851874146,45.2,0.17850695017977558
713,2018-11-18 07:00:00,46.01573680569642,49.7,0.07413004415097751
714,2018-11-18 06:00:00,44.03518717399838,49.1,0.10315301071286397
715,2018-11-18 05:00:00,44.52889532689481,50.2,0.11297021261165718
716,2018-11-18 04:00:00,47.88097279594721,52.8,0.09316339401615131
717,2018-11-18 03:00:00,55.841902622392105,56.2,0.006371839459215262
718,2018-11-18 02:00:00,63.29931508736759,58.0,0.09136750150633774
719,2018-11-18 01:00:00,64.44166648556886,61.6,0.046130949441052886
720,2018-11-18 00:00:00,67.00298184826538,67.6,0.008831629463529826
