,时间,南苑乡,南苑乡_root,相对偏差
524,2018-11-26 04:00:00,149.2013237486061,168.0,0.1118968824487733
525,2018-11-26 03:00:00,139.0707558035556,169.4,0.1790392219388689
526,2018-11-26 02:00:00,159.0106721948032,168.8,0.05799364813505224
527,2018-11-26 01:00:00,146.40095389904775,157.6,0.07105993718878328
528,2018-11-26 00:00:00,133.72667447272732,141.1,0.05225602783325776
529,2018-11-25 23:00:00,122.70547229495064,128.0,0.04136349769569814
530,2018-11-25 22:00:00,119.77357598987574,125.2,0.04334204480929924
531,2018-11-25 21:00:00,121.40309761633932,117.3,0.03497951932088087
532,2018-11-25 20:00:00,99.01475583584292,98.4,0.00624751865694018
533,2018-11-25 19:00:00,83.31623181283284,72.3,0.15236835149146394
534,2018-11-25 18:00:00,69.35778719955934,62.6,0.10795187219743352
535,2018-11-25 17:00:00,60.4289149295717,53.5,0.12951242859012518
536,2018-11-25 16:00:00,56.97499977076026,52.0,0.09567307251462044
537,2018-11-25 15:00:00,58.8064854509686,51.4,0.14409504768421408
538,2018-11-25 14:00:00,59.625205626070915,58.6,0.01749497655411116
539,2018-11-25 13:00:00,58.28643864209172,51.0,0.142871345923367
540,2018-11-25 12:00:00,51.8151198954304,56.8,0.08776197367199996
541,2018-11-25 11:00:00,55.626212366450986,71.1,0.2176341439317723
542,2018-11-25 10:00:00,75.39148412982448,78.3,0.03714579655396578
543,2018-11-25 09:00:00,84.78939386112927,102.0,0.16873143273402677
544,2018-11-25 08:00:00,105.74026360403958,146.1,0.2762473401503108
545,2018-11-25 07:00:00,139.18296482044565,163.2,0.14716320575707317
546,2018-11-25 06:00:00,164.46944062998872,165.5,0.006226944833904986
547,2018-11-25 05:00:00,171.32066490746826,162.6,0.05363262550718488
548,2018-11-25 04:00:00,167.8382944663357,151.8,0.10565411374397683
549,2018-11-25 03:00:00,164.2709552656915,160.9,0.020950623155323134
550,2018-11-25 02:00:00,153.30803850285034,162.6,0.05714613466881708
551,2018-11-25 01:00:00,158.41344612833475,160.9,0.015454032763612497
552,2018-11-25 00:00:00,156.2099908158813,160.4,0.026122251771313637
553,2018-11-24 23:00:00,153.8698623426115,159.1,0.03287327251658389
554,2018-11-24 22:00:00,161.29845014738498,161.3,9.608509702592421e-06
555,2018-11-24 21:00:00,148.01984670452646,157.7,0.061383343661848645
556,2018-11-24 20:00:00,146.7933321572558,162.3,0.09554323994297108
557,2018-11-24 19:00:00,145.17882673518548,148.2,0.020385784512918406
558,2018-11-24 18:00:00,141.3321241818383,147.4,0.04116605032674149
559,2018-11-24 17:00:00,130.32428000555137,126.5,0.030231462494477255
560,2018-11-24 16:00:00,101.57170167539722,92.7,0.09570336219414476
561,2018-11-24 15:00:00,105.80715091851626,103.6,0.02130454554552377
562,2018-11-24 14:00:00,108.84216447861533,100.4,0.08408530357186578
563,2018-11-24 13:00:00,118.33582776184186,102.8,0.15112672920079628
564,2018-11-24 12:00:00,95.07726572434264,89.1,0.06708491273111834
565,2018-11-24 11:00:00,64.7133445122258,71.7,0.09744289383227615
566,2018-11-24 10:00:00,46.705545892526324,47.6,0.018791052678018436
567,2018-11-24 09:00:00,44.562424394401994,50.3,0.1140671094552287
568,2018-11-24 08:00:00,38.3666811440505,51.4,0.25356651470718866
569,2018-11-24 07:00:00,39.34280394165528,48.9,0.19544368217473856
570,2018-11-24 06:00:00,38.91186775506176,46.6,0.1649813786467433
571,2018-11-24 05:00:00,47.564148003133226,53.1,0.1042533332743272
572,2018-11-24 04:00:00,69.92724215584518,67.7,0.03289870244970717
573,2018-11-24 03:00:00,85.52101395880182,74.1,0.15412974303376278
574,2018-11-24 02:00:00,100.34413612952335,92.1,0.08951287871360863
575,2018-11-24 01:00:00,89.60066616966151,81.5,0.09939467692836207
576,2018-11-24 00:00:00,81.15778875065271,81.8,0.007850993268304202
577,2018-11-23 23:00:00,83.11875397927108,80.6,0.03125004937060896
578,2018-11-23 22:00:00,93.89710293814976,80.7,0.16353287407868344
579,2018-11-23 21:00:00,94.93327196828112,86.2,0.1013140599568575
580,2018-11-23 20:00:00,89.59003435488566,84.2,0.06401465979674177
581,2018-11-23 19:00:00,90.46262145703803,80.5,0.12375927275823634
582,2018-11-23 18:00:00,83.69974491115707,79.7,0.05018500515880886
583,2018-11-23 17:00:00,84.73949418470015,79.3,0.06859387370365892
584,2018-11-23 16:00:00,78.85073493297719,70.2,0.12322984235010237
585,2018-11-23 15:00:00,56.55129738069969,65.0,0.1299800402969279
586,2018-11-23 14:00:00,53.49512145894445,56.4,0.05150493867119761
587,2018-11-23 13:00:00,45.82363525679055,51.2,0.10500712389080957
588,2018-11-23 12:00:00,41.40072858394888,48.7,0.14988236993944803
589,2018-11-23 11:00:00,40.10191769599738,48.0,0.16454338133338794
590,2018-11-23 10:00:00,43.03376142844576,49.6,0.13238384216843233
591,2018-11-23 09:00:00,50.38915380313761,54.2,0.07031081544026554
592,2018-11-23 08:00:00,72.742809991001,65.6,0.10888429864330797
593,2018-11-23 07:00:00,70.62113034815577,69.5,0.01613137191591041
594,2018-11-23 06:00:00,79.90017238391158,79.3,0.007568378107333972
595,2018-11-23 05:00:00,81.61306777641241,83.6,0.02376713186109554
596,2018-11-23 04:00:00,72.32283936565908,71.0,0.018631540361395468
