,时间,小屯公园,小屯公园_root,相对偏差
496,2018-11-27 08:00:00,44.42796839461647,40.8,0.0889207939856979
497,2018-11-27 07:00:00,53.79258852128656,51.5,0.04451628196672934
498,2018-11-27 06:00:00,60.75507115454883,50.8,0.195965967609229
499,2018-11-27 05:00:00,69.70719504125616,55.8,0.2492328860440172
500,2018-11-27 04:00:00,71.39444254989456,70.0,0.01992060785563662
501,2018-11-27 03:00:00,87.55123370503044,93.5,0.06362316893015571
502,2018-11-27 02:00:00,84.50631373390749,158.3,0.4661635266335598
503,2018-11-27 01:00:00,136.49708995391325,234.6,0.4181709720634559
504,2018-11-27 00:00:00,286.76065643800814,276.4,0.03748428523157802
505,2018-11-26 23:00:00,318.07267780776783,296.8,0.07167344274854387
506,2018-11-26 22:00:00,334.9256768916441,321.6,0.0414355624740177
507,2018-11-26 21:00:00,348.90300521463286,315.4,0.10622385927277388
508,2018-11-26 20:00:00,333.8990209310897,265.8,0.2562039914638438
509,2018-11-26 19:00:00,323.0272396562542,235.6,0.3710833601708583
510,2018-11-26 18:00:00,304.5061816591117,203.6,0.495609929563417
511,2018-11-26 17:00:00,233.59363421138028,200.4,0.1656368972623766
512,2018-11-26 16:00:00,226.82510037147063,211.9,0.07043464073369807
513,2018-11-26 15:00:00,204.16125142749073,191.6,0.06555976736686185
514,2018-11-26 14:00:00,207.726551923018,177.5,0.17029043336911553
515,2018-11-26 13:00:00,213.94530742437746,196.9,0.08656834649252135
516,2018-11-26 12:00:00,235.61568638026452,186.2,0.2653903672409481
517,2018-11-26 11:00:00,194.7523345387775,191.0,0.019645730569515654
518,2018-11-26 10:00:00,231.89447219687963,207.7,0.11648758881501996
519,2018-11-26 09:00:00,202.7992828356213,175.4,0.1562102784242948
520,2018-11-26 08:00:00,185.4740980932809,147.2,0.2600142533510932
521,2018-11-26 07:00:00,161.26011558789173,131.9,0.22259374971866358
522,2018-11-26 06:00:00,137.72365356605158,92.0,0.49699623441360413
523,2018-11-26 05:00:00,120.94867983070293,84.5,0.4313453234402713
524,2018-11-26 04:00:00,120.14893294691754,98.4,0.22102574133046274
525,2018-11-26 03:00:00,137.40924244208577,113.2,0.21386256574280713
526,2018-11-26 02:00:00,206.72517174316258,126.7,0.6316114581149375
527,2018-11-26 01:00:00,211.69327357832924,133.6,0.5845304908557578
528,2018-11-26 00:00:00,182.45046907739442,123.6,0.47613648120869273
529,2018-11-25 23:00:00,156.85005205246966,128.5,0.22062297317097015
530,2018-11-25 22:00:00,149.2218469320319,119.9,0.2445525181987647
531,2018-11-25 21:00:00,146.51434320940444,109.3,0.34047889487103794
532,2018-11-25 20:00:00,134.2675778610004,104.9,0.27995784424213915
