,时间,花乡,花乡_root,相对偏差
571,2018-11-24 05:00:00,69.05085472077138,41.6,0.6598763154031582
572,2018-11-24 04:00:00,62.32614479459726,42.2,0.4769228624312146
573,2018-11-24 03:00:00,77.21300233173125,53.1,0.4541055053056732
574,2018-11-24 02:00:00,102.6777488630033,61.7,0.6641450382982707
575,2018-11-24 01:00:00,108.12195829628013,69.9,0.546809131563378
576,2018-11-24 00:00:00,110.44504667360668,69.5,0.5891373622101681
577,2018-11-23 23:00:00,112.18027894171321,68.9,0.6281607974123832
578,2018-11-23 22:00:00,109.45813134474456,64.5,0.6970252921665823
579,2018-11-23 21:00:00,115.60674651597306,62.4,0.8526722198072606
580,2018-11-23 20:00:00,107.65949709105885,59.6,0.8063674008566921
581,2018-11-23 19:00:00,102.72146422083354,58.0,0.7710597279454059
582,2018-11-23 18:00:00,91.3488921186639,56.0,0.6312302164047124
583,2018-11-23 17:00:00,88.38835597199859,57.9,0.5265691877719965
584,2018-11-23 16:00:00,70.7472565874696,53.7,0.31745356773686384
585,2018-11-23 15:00:00,59.67486685747987,51.2,0.16552474331015365
586,2018-11-23 14:00:00,53.46963598536024,49.8,0.07368746958554709
587,2018-11-23 13:00:00,50.212000714848344,48.0,0.04608334822600716
588,2018-11-23 12:00:00,46.07491702398274,45.7,0.008203873610125586
589,2018-11-23 11:00:00,43.6261510017073,42.6,0.0240880516832699
590,2018-11-23 10:00:00,55.142826360789094,45.7,0.20662639739144617
591,2018-11-23 09:00:00,61.50843712813014,47.6,0.2921940573136584
592,2018-11-23 08:00:00,69.66170298313845,57.0,0.2221351400550606
593,2018-11-23 07:00:00,76.5693223621334,57.8,0.3247287605905434
594,2018-11-23 06:00:00,75.97915697355589,56.2,0.3519422949031296
595,2018-11-23 05:00:00,73.36736636439785,56.6,0.29624322198582775
596,2018-11-23 04:00:00,91.21401789092509,58.3,0.564562914081048
